Subject_ID,Subject_Description,Keywords
52,Minority status,"ethnicity, ascribed status, marginal, discrimination, religion, race, cast, Minority status"
53,Perceived changes in happiness,"life event, turning point, transition, shift, Perceived changes in happiness"
54,Local setting,"city, locality town, municipality, vicinity, Local setting"
55,Neighborhood correlates of happiness,"area, block, parish, street, zone, Neighborhood correlates of happiness"
56,Recent life-events,"occurrence, event,  milestone, turning point, Recent life-events"
57,Values,"belief, opinion, evaluation, ideal, standard, conviction, philosophy, Values"
58,Happiness levels in regions,"district, canton, county, province, territory, Happiness levels in regions"
59,Widowed,"bereaved, Widowed"
60,Effects on work,"employment, occupation, labor, job, Effects on work"
61,Perceived sources of one's own happiness,"attribution, ascription, belief, cause, condition, determinant, narrative, Perceived sources of one's own happiness"
62,Social abilities,"social intelligence, social competence, Social abilities"
63,Intimate environment,"family, relatives, primary relations, intimate network, kin, Intimate environment"
64,Extraversion,"open, introvert,, Extraversion"
65,Contacts with children,"communication, interaction, Contacts with children"
66,Education,"school, learning, Education"
67,Is happiness a trait?,"character, personality, set-point, Is happiness a trait?"
68,PREVALENCE of HAPPINESS,"distribution, epidemiology, frequency, occurrence, predominance, PREVALENCE of HAPPINESS"
69,Summed mental capital,"hedonic capital, psychological capital, psychological resources, strength, stock, Summed mental capital"
70,Self report on indirect questioning,"constructed, implied, inferred, inventory, scale, test, unobtrusive, Self report on indirect questioning"
71,Expert opinion,"intellectual, scholar, professional, Expert opinion"
72,Utilitarianism,"greatest happiness principle, greater happiness for greater number, Bentham, utility, consequentialism, Utilitarianism"
73,Perceived fate control,"external control belief, inner control belief, fatalism, locomotion, Perceived fate control"
74,Retired,"pension, stopped working, Retired"
75,Trend of average happiness in places,"area, region, territory, Trend of average happiness in places"
76,Rating scales,"response options, Rating scales"
78,Unemployed,"idle, jobless, employed, occupied, Unemployed"
79,Eudaimonism,"eudaimonia, good spirit, self actualization, involved life, virtuous life, Aristotle, positive psychology, Eudaimonism"
80,Lifelong singles,"celibate, never married, Lifelong singles"
81,Marital status,"matrimony, wedlock, Marital status"
82,"High school pupils, adolescents","secondary school, teen agers, grammar school, High school pupils, adolescents"
83,Closed questions,"multiple choice, forced response, pre coded, response options, Closed questions"
84,Amenities in vicinity,"facilities, infrastructure, services, public goods, Amenities in vicinity"
86,Of compatriots,"fellow citizen, nationals, peers, Of compatriots"
87,Childlessness,"sterile, infertility, voluntary, unwanted, Childlessness"
88,Effects on mental health,"disturbed, sane, insane, Effects on mental health"
89,Currently married (vs. all unmarried),"married, wedded, living together, single, unmarried, Currently married (vs. all unmarried)"
90,Religiousness,"agnostic, atheist, devout, pious, spiritual, Religiousness"
91,Satisfaction with work,"employment, job satisfaction, Satisfaction with work"
92,Medical treatment,"curative, health care, hospital, medication, Medical treatment"
94,Political values,"ideal, ideology, principle, Political values"
95,Satisfaction with one's social position,"caste, prestige, social status, Satisfaction with one's social position"
97,Working (married) women,"working women, working wife, Working (married) women"
98,Views on happiness in philosophy,"doctrine, speculation, school of thought, theory, tradition, weltanschauung, Views on happiness in philosophy"
99,CONCEPT of HAPPINESS,"idea, conception, construct, notion, theory, CONCEPT of HAPPINESS"
100,Schools of philosophical thought,"approach, intellectual tradition, line of thought, outlook, view, weltanschauung, Schools of philosophical thought"
101,Conditions in childhood,"juvenile, young, youth, Conditions in childhood"
102,Stability of happiness,"constant, fixed, set point, trait, unstable, changing, short lived, long-term, Stability of happiness"
103,Longitudinal studies on happiness,"over time, repeated observation, wave, Longitudinal studies on happiness"
104,Western vs. Non-Western countries,"developing, underdeveloped, modern, traditional, Western vs. Non-Western countries"
105,Expert opinion,"academic, intellectual, scholar, professional, Expert opinion"
106,Models in fiction,"archetype, example, prototype, type, emblem, stereotype, novel, legend, story, film, Models in fiction"
107,Migrants,"immigrant, emigrant, refugee, expat, integration, discrimination, Migrants"
108,How do comparison standards develop?,"norm setting, How do comparison standards develop?"
109,Overview of explanations,"causal mechanisms, theory, Overview of explanations"
111,Happiness and Social Participation,"citizenship, social involvement, social capital, social inclusion, membership, Happiness and Social Participation"
114,Sex life,"sexuality, Sex life"
115,Leaving home of children,"empty nest, Leaving home of children"
116,Do positive and negative affects vary independently?,"reward centers, Do positive and negative affects vary independently?"
118,Effects on pro-social behavior,"ethical, virtuous, solidarity, Effects on pro-social behavior"
119,Happiness and Work,"employment, job, occupation, work force, Happiness and Work"
120,Response style bias,"answer style, response tendency, Response style bias"
121,Characteristics of the bond,"relation, tie, nexus, Characteristics of the bond"
122,Economic growth/decline in nation,"boom, crisis, development, recession, Economic growth/decline in nation"
123,Homosexuals,"lesbian, gay, same sex, Homosexuals"
126,Public opinion,"common people, man on street, lay theories, Public opinion"
127,Object of goals,"aim, ambition, ideal, Object of goals"
128,Satisfaction with domains of life,"life domain, field, part, Satisfaction with domains of life"
129,Perceived Level of happiness,"attribution, fame, name, reputation, Perceived Level of happiness"
130,Physiological basis of hedonic experience,"brain, cerebrum, nerve, neuron, Physiological basis of hedonic experience"
131,Physical characteristics,"body, morphology, Physical characteristics"
132,Family household,"extended family, stem  family, Family household"
133,In children,"youth, In children"
134,Object of aspirations,"aim, aspiration, longing, preference, want, Object of aspirations"
135,Religion,"faith, belief, church, spiritual, god, sacred, Religion"
136,Are people typically positive about their life?,"favorable, negative, neutral, rosy, Are people typically positive about their life?"
137,How permanent are happiness judgments?,"stable, trait, How permanent are happiness judgments?"
138,Want for work,"work motivation, job searching, Want for work"
140,Having children,"parent, family cycle, procreation, Having children"
141,Organizations,"club, voluntary organization, association, Organizations"
142,Treatments,"healing, medication, therapy, Treatments"
143,Behavioral correlates of happiness,"daily life, habit, habitus, lifestyle, manner of living, choice, way of life,, Behavioral correlates of happiness"
144,Differences in ways of evaluating life,"appraisal of life, Differences in ways of evaluating life"
147,Physical handicaps,"disability, disable, frail, Physical handicaps"
148,Cognitive abilities,"IQ, intelligence, smart, Cognitive abilities"
150,Effects on physical health,"disease, illness, flourish, languish, Effects on physical health"
151,In what conditions the most stable?,"circumstances, preconditions, In what conditions the most stable?"
153,External threats to nation,"natural disaster, international isolation, war, External threats to nation"
154,Personality,"character, complexion, trait, disposition, temperament, nature, Personality"
156,Kind of work,"business, occupation, profession, trade, Kind of work"
157,Problems of conceptualizing happiness,"delineate, define, describe, Problems of conceptualizing happiness"
158,Occupation,"job, profession, work,, Occupation"
159,Characteristics of children,"personality, kind, Characteristics of children"
160,Beliefs about happiness,"reputation, Beliefs about happiness"
163,Balance of positive and negative affect,"abs, affect balance scale, mood level, Balance of positive and negative affect"
164,Is happiness not too relative?,"adaptation, social comparison, Is happiness not too relative?"
165,Friends,"acquaintance, confidant, pal, Friends"
166,Gender,"sex, ascribed status, female, male, boys, girls, men, women, transgender, Gender"
167,Of intimates,"kin, friends, Of intimates"
168,Having goals,"planning, aimless, Having goals"
169,Having life goals,"calling, life map, plan, Having life goals"
170,On further indicators of well-being,", On further indicators of well-being"
171,Role discrepancies,"role conflict, Role discrepancies"
172,Particular disease,"health defect, health problems, illness, Particular disease"
173,Separated/divorced,"marital split-up, break-up, dissolution, Separated/divorced"
174,Causal models,"hypothesis, theory, scheme, Causal models"
175,Development of happiness,"career, course, Development of happiness"
176,Which comparison levels?,", Which comparison levels?"
177,Characteristics of the spouse,"husband, wife, mate, partner, Characteristics of the spouse"
178,Work conditions,"job conditions, Work conditions"
179,Working wife/mother,"homemaker, housewife, working mother, Working wife/mother"
180,Happiness and kind of marriage,"conjugal bond, relation, Happiness and kind of marriage"
181,The mental calculus: How do we assess how happy we are?,"appraisal, evaluation, calculation, The mental calculus: How do we assess how happy we are?"
183,Of people in general,"average citizen, common man, Of people in general"
184,Repeated questions on mood of the moment,"beeper, diary, ecological assessment, experience sampling EMS, multiple-moment measurement, time sampling, Repeated questions on mood of the moment"
187,Ways to greater happiness in society (macro level),"public choice, social engineering, social policy, Ways to greater happiness in society (macro level)"
188,Do people report honestly about their happiness?,"desirability bias, truthfulness, Do people report honestly about their happiness?"
189,What are the most current standards for whom?,"norm, What are the most current standards for whom?"
190,Affluence in nation,"wealth, affluence, rich, poverty, Affluence in nation"
191,Beliefs about Happiness,"attribution, cause, condition, orientation to happiness, Beliefs about Happiness"
192,Anti-depressive drugs,"antidepressant, prozac, Anti-depressive drugs"
193,Myths about happiness,"misunderstanding, folk tale, Myths about happiness"
194,Which standards of comparison?,"benchmark, criterion, norm, reference, Which standards of comparison?"
196,Questions on how one generally feels,"daily mood, mood level, self report, Questions on how one generally feels"
197,Happiness and social rank,"status, position, class, caste, level, upper, lower, aristocracy, social ladder, elite, under class, Happiness and social rank"
198,Earlier personality,"character, complexion, trait, disposition, temperament, nature, Earlier personality"
199,Promotive conditions,"requirements, prerequisites, Promotive conditions"
200,Infants,"baby, Infants"
201,Rise of the western happiness ideas,"history of idea, Rise of the western happiness ideas"
202,Overview of theories,"overview, Overview of theories"
203,Ethical values,"moral, principled, Ethical values"
204,Energy/Activity,", Energy/Activity"
205,Cross national studies on happiness,"cross-cultural, transnational, Cross national studies on happiness"
206,Perceived sources of happiness: Concepts of the good life,"theory, notion, attribution, belief, Perceived sources of happiness: Concepts of the good life"
207,Measurability of happiness,"quantifiable, Measurability of happiness"
208,National setting,"civilization, culture, country, state, National setting"
209,Inequality of happiness,"dispersion, spread, standard deviation, Inequality of happiness"
211,Happiest period in life,"best years, Happiest period in life"
212,Happiness and Life Course,"life choice, life history, development, career, Happiness and Life Course"
214,Rating by others,"external assessment, peer rating, expert rating, staff rating, teacher rating, parent rating, Rating by others"
216,Adjustment scales,"eudaimonic, living well, positive mental health, quality of life, wellbeing, Adjustment scales"
221,Longevity,"survival, long life, mortality, Longevity"
222,Happiness and Earlier Living Conditions,"antecedent, cause precondition, Happiness and Earlier Living Conditions"
223,Urban/rural,"city, town, countryside, suburb, Urban/rural"
224,Review of comparison theories,"explanation, hypothesis, overview, survey, Review of comparison theories"
225,Self-actualization,"development, psychological growth, growth need, virtuous, Self-actualization"
226,Rose colored outlook,"optimism, Rose colored outlook"
228,Theories about effect of social involvement,"social inclusion, social capital, Theories about effect of social involvement"
229,Actual rank,"social prestige, Actual rank"
231,Social status,"class, rank, upper, lower, under class, social ladder, stratification, Social status"
232,Perceived meaningfulness,"purpose in life, Perceived meaningfulness"
234,Satisfaction with intimate relations,"clan, family, friends, kin, primary relations, Satisfaction with intimate relations"
235,Housework,"housewife, home maker, Housework"
236,Factors affecting the overall evaluation,"determinants, Factors affecting the overall evaluation"
238,Meanings of the word happiness,"connotations, semiology, Meanings of the word happiness"
239,Mixed measures of happiness,"composite measures, mixed measures, multiple aspect measures, Mixed measures of happiness"
240,Bibliographies,"literature, list of publications, repository, Bibliographies"
241,Cognitive and affective appraisals,"conjoin, mix, weigh, Cognitive and affective appraisals"
242,Emotionality,"agitable, excitable, moody, calm, easy, stable, Emotionality"
243,Achievement motivation,"accomplishment, protestant ethic, Achievement motivation"
244,Relative impact,"dominance, importance, Relative impact"
246,Ageing,"grow old, mature, Ageing"
248,Household size,"family size, Household size"
251,Rank mobility,"upward, downward, intergenerational, intragenerational, success, failure, Rank mobility"
252,Society in childhood,"nation, country, social order, Society in childhood"
253,Relatives,"family, intimate, clan, Relatives"
254,Determinants of success in meeting standards,"accomplishment, achievement, failure, Determinants of success in meeting standards"
255,Realization of goals,"accomplish, achieve, attain, success, Realization of goals"
256,Development of attitude towards life,"outlook on life, attitude formation, Development of attitude towards life"
258,TV watching,"television, media use, TV watching"
259,General impairment score,"disturbed, sick, General impairment score"
260,Phenomenology of happiness,"lived experience, mental gestalt of happiness, Phenomenology of happiness"
261,Perceived fit theory (Cognitive theory of pleasant affect),"harmony, congruity, conflict, Perceived fit theory (Cognitive theory of pleasant affect)"
262,Health related quality-of-life,"HQOL, patient reported outcomes, PRO, Health related quality-of-life"
263,Birth of children,"delivery, labor, nativity, post natal, post partum, Birth of children"
264,Living alone or not,"single, living arrangement, cohabitation, Living alone or not"
265,Happiness in youth,"childhood, teenage, adolescence, toddler, school age, student time, Happiness in youth"
266,Functions of experiencing (un)happiness in oneself,"advantage, benefit, use, usefulness, utility, Functions of experiencing (un)happiness in oneself"
268,Measures of hedonic level,"affect, affect balance, affective component, emotional, feeling, mood, Measures of hedonic level"
272,Contextual bias,"situational error, Contextual bias"
274,Is pursuit of happiness self-defeating?,"hedonic reversal, Is pursuit of happiness self-defeating?"
275,Interviewer bias,"interrogation effect, Interviewer bias"
276,Materialist values,"money, economic, Materialist values"
279,Remarriage,"second marriage, serial, Remarriage"
280,Self report on direct question,"one item, Self report on direct question"
281,Happiness levels in parts of the world,"continent, Happiness levels in parts of the world"
282,Effects on preferences,"choice, desire, liking, want, Effects on preferences"
283,Sporting,"physical exercise, game, move, train, Sporting"
284,Summed macro societal conditions,"society, culture, Summed macro societal conditions"
285,Political extremism,"radical, fanatic, revolution, Political extremism"
286,Size of the town,"conurbation, urban sprawl, mega city, metropolis, village, population density, Size of the town"
287,Voluntary work,"unpaid work, volunteer, honorary, Voluntary work"
288,Earlier life style,"way of life, daily life, habit, manner of living, Earlier life style"
289,Physician-rated health,"doctor, diagnosis, expert rating, Physician-rated health"
291,Satisfaction with society,"nation, country, social order, Satisfaction with society"
293,Public opinion,"common people, lay,, Public opinion"
295,Projective measures,"TAT, rohrschach, sentence completion, Projective measures"
297,Attribution of causal effects,"ascription, causal inference, theory, Attribution of causal effects"
298,Leadership,"management, follower, director, Leadership"
299,Happiness and Health Behavior,"healthy living, Happiness and Health Behavior"
302,Adding life aspect/domain satisfactions,"bottom-up (vs top-down), Adding life aspect/domain satisfactions"
304,Trend in regional happiness,"area, county, district, territory, Trend in regional happiness"
305,Hospitalization,", Hospitalization"
307,Cultural variations in views on happiness,"cross-cultural, belief, value, Cultural variations in views on happiness"
308,Alienation,"estrangement, disengagement, distancing, Alienation"
310,Own rank adults,"ses, social position, socio economic status, standing, Own rank adults"
311,Remembered happiness in the past,"biography, hindsight, past, narrative, review, recollect, remember, retrospect, Remembered happiness in the past"
315,Effects on cognition,"heuristics, rosy view, thinking, thought, Effects on cognition"
317,Inequality of incomes in nation,"disparity, disproportion, dispersion, inequality, Inequality of incomes in nation"
318,Involvement in war of nation,"armed conflict, peace, war, belligerent, neutral,, Involvement in war of nation"
319,In the present,"current, contemporary, now, In the present"
321,Object of life goals,"career, life plan, Object of life goals"
322,Rank consistence,"status conflict, status congruity, Rank consistence"
323,General health,"disability, disease, ill, sick, thriving, flourish, General health"
324,Mental strength: positive mental health,"adjustment, able, eudaimonic happiness, flourish, healthy, mental capital, psychological capital, thrive, Mental strength: positive mental health"
325,Differences in conditions for happiness,"circumstances, contingences, Differences in conditions for happiness"
326,Size of the nation,"largeness, scope, surface, population, Size of the nation"
327,Culture in the nation,"beliefs, civilization, custom, ideas, values, national character, Culture in the nation"
328,Modernity of the nation,"civilization, social development social progress, Modernity of the nation"
329,Occupational prestige,"career, profession, Occupational prestige"
330,Ethnicity,"race, minority, ethnic group, Ethnicity"
331,Happiness and Household,"home, domestic, Happiness and Household"
332,Effects on oneself,"endogenous, inner, internal, psychological, Effects on oneself"
335,Rating by others,"external assessment, other rating,  peer rating,, Rating by others"
336,Rating by others,"external assessment, expert rating, peer rating, Rating by others"
337,Self-disclosure,"openness, reservation, self-concealment, Self-disclosure"
339,Isn't experiential happiness 'false' happiness?,"false consciousness, Isn't experiential happiness 'false' happiness?"
340,Experimental studies on happiness,"trial, test, Experimental studies on happiness"
341,Economy in the nation,"business, financial, market, production, subsistence, trade, wealth, Economy in the nation"
342,Self-esteem,"self-respect, self-worth, Self-esteem"
343,Adult children,"grown up, Adult children"
345,Optimism/Positivity,"negativism, cynical, rose colored, Optimism/Positivity"
346,In elderly people,"aged, retired, 65+, seniors, pensioners, In elderly people"
347,Is happiness a trait?,"character, personality, set-point, Is happiness a trait?"
349,Effects on society,"collectivity, community, culture, Effects on society"
350,Should happiness be promoted?,"desirable, good, Should happiness be promoted?"
351,Psycho-social development,"mature, grown up, backward, underdeveloped, stagnate, Psycho-social development"
353,Basic school children,"elementary school, primary school, school age, Basic school children"
354,Heuristics,"bias, disposition, outlook, cognitive style, guess, Heuristics"
355,Variable aspects of happiness,"features of happiness, Variable aspects of happiness"
356,Meanings in common language,"etiology, use of word, speech, folk concepts, Meanings in common language"
358,Of social categories,"caste, class, groups, stratum, status, Of social categories"
359,Summed satisfaction with life aspects,"aggregate, composite, index, multiple item, scale, questionnaire, Summed satisfaction with life aspects"
360,Reported ways to pursue happiness,"quest for happiness, seeking happiness, self report, Orientations to Happiness Questionnaire OHQ or OTH, Reported ways to pursue happiness"
364,Work,"employment, occupation, profession, Work"
367,Satisfaction with leisure,"free time, vacation, weekend, Satisfaction with leisure"
368,Attitudes,"view, opinion, Attitudes"
369,Creativity,"originality, imagination, Creativity"
370,Happiness and Leisure,"free time, holiday, vacation, weekend, Happiness and Leisure"
372,Determinants of contentment,"cognitive component, getting what you want, preference, volitional wellbeing, Determinants of contentment"
375,Climate/Season,"atmospheric conditions, cold, dry, hot,  latitude, temperature, rain, weather, wet, Climate/Season"
376,Appearance,"beauty, good looks, homely, ugly, Appearance"
377,Satisfaction with living environment,"community, region, Satisfaction with living environment"
378,Specific mental defects,"mental illness, mental disease, disturbance, Specific mental defects"
382,Having work,"employment, working, Having work"
386,Effects on activity,"doing, participating, Effects on activity"
387,Appraisals of life other than happiness,"evaluation, valuation, Appraisals of life other than happiness"
389,Reliability of happiness measurements,"error, consistence, flaw, reproducible, trustworthy, weakness, Reliability of happiness measurements"
391,Various effects,", Various effects"
394,Uses of happiness concepts,"purpose, role, function, Uses of happiness concepts"
395,Happiness and Earlier Personal Characteristics,"character, nature, traits, Happiness and Earlier Personal Characteristics"
396,Intimate network,"family, friends, relatives, kin, intimate, primary relations, Intimate network"
397,Can happiness be promoted?,"advance, boost, develop, encourage, further,  improve, social engineering, Can happiness be promoted?"
398,Correspondence of happiness ratings,"equivalence, similarity, association, correlation, Correspondence of happiness ratings"
399,Mental health,"adjustment, life ability, negative mental health, mental strengths and weaknesses, Mental health"
400,Happiness and Marriage,"marriage, married, partner, spouse, couple, steady, Happiness and Marriage"
404,Self report on indirect questions,"inferred, index, inventory, scale, Self report on indirect questions"
405,Methods in meta-analysis of happiness research,"research synthesis, summing up, review, Methods in meta-analysis of happiness research"
406,Meta-analysis,"quantitative research synthesis, review, study of studies, Meta-analysis"
407,Individualism values,"collectivist, individual, Individualism values"
408,Overall participation,", Overall participation"
410,Measures of contentment,"cognitive component, perceived realization of wants, volitional wellbeing, Measures of contentment"
411,Social security in nation,"charity, social security, welfare state, Social security in nation"
412,Anhedonia (ICD code R45),"inability to feel pleasure, Anhedonia (ICD code R45)"
415,Happiness and Children,"family, kids, offspring, Happiness and Children"
418,Effects of social support,", Effects of social support"
420,Do people evaluate their life?,"assess, judge, Do people evaluate their life?"
421,Pre-school children,"kindergarten, toddler, nursery, play school, Pre-school children"
422,Attribution of happiness level,"ascription, causal inference, folk theory, perception, Attribution of happiness level"
426,Part time work,"full-time, hour contract, Part time work"
427,Having aspirations,"aim, ambition, Having aspirations"
428,Expected happiness in the future,"future, expectation, predicted, projected, Expected happiness in the future"
432,Abilities,"skill, capability, talent, Abilities"
437,Life-history,"antecedent, biography, career, life course, previous, past,, Life-history"
440,Heritability of happiness,"genetic, inborn, acquired, Heritability of happiness"
443,Focused interview,"discursive interrogation, qualitative, targeted, Focused interview"
444,Complexity,"psychological differentiation, Complexity"
446,Kind of goals,"goal type, goal characteristics, Kind of goals"
447,Multiple direct questions,"index, inventory, scale, test, Multiple direct questions"
449,Stimulants,"alcohol, drugs, substance, tobacco, Stimulants"
451,Summed multiple socio-demographic characteristics,"advantaged, deprivation, disadvantaged, exclusion, marginal, high, low, Summed multiple socio-demographic characteristics"
452,Methodology,"approach, technique, Methodology"
458,Communal households,"commune, collective,, Communal households"
460,Sleep,"rest, Sleep"
466,In the future,"expected, In the future"
468,Level of happiness,"average, degree, mean, Level of happiness"
469,Perceived consequences of happiness,"aftereffect, effect, outcome, sequel, result, Perceived consequences of happiness"
470,Goals,"aim, ambition, aspiration, calling, life goal, passion, life plan, longing, target, want, Goals"
472,Politics in the nation,"government, policy, politics, regime, Politics in the nation"
476,Number of children,"family size, Number of children"
478,Perceived reputation of happiness,"looking glass self, Perceived reputation of happiness"
479,Suicide/self-harm,"death, self destruct, Suicide/self-harm"
484,Views on happiness in public opinion,"attitude, belief, hear-say, idea, stereotype, notion, public opinion, understanding, Views on happiness in public opinion"
491,Functions of overall happiness,"overall happiness, life satisfaction, Functions of overall happiness"
493,Is happiness something good in itself (a virtue)?,"desirable, good, virtue, Is happiness something good in itself (a virtue)?"
494,Moral appreciation of happiness,"enjoyment, pleasure seeking, lust acceptance, frugality, austerity, epicureanism, abstinence, ethical valuation, depreciate, reject, Moral appreciation of happiness"
500,Relational patterns in nation,"family, marriage, relatives, friends, nuclear, extended, Relational patterns in nation"
501,Participation with ..,"interaction, contact, involvement, Participation with .."
502,Genes,"constitutional, hereditary, inborn, innate, Genes"
507,Nation characteristics,"nation, culture, civilization, country, society, Nation characteristics"
508,Functions of pleasantness in affect,"hedonic tone, valance, Functions of pleasantness in affect"
509,Democracy in nation,"dictatorship, egalitarian, liberal, suffrage, vote, oligarchy, theocracy, Democracy in nation"
510,On happiness,", On happiness"
511,Effects of personal resources,"personality, Effects of personal resources"
513,General effectiveness scores,"thriving index, General effectiveness scores"
516,Joint effects,", Joint effects"
517,Specific strong points,"strengths, virtues, Specific strong points"
518,How do comparison levels develop?,"norm setting, How do comparison levels develop?"
519,Enjoyed activities,"time use, Enjoyed activities"
520,Happiness and Time behavior,"activity, occupation, pursuit, Happiness and Time behavior"
521,Which is most decisive?,"importance, predominance, Which is most decisive?"
522,Values in nation,"principles, ethics, morals, standard, Values in nation"
523,Perceived Stability of one's own happiness,"constant, fixed, set point, trait, unstable, changing, Perceived Stability of one's own happiness"
524,Effects on reference,"comparison, contrasting, Effects on reference"
525,Social change in nation,"revolution, shift, transform, Social change in nation"
526,Chronological age,"year of birth, young, old, middle aged, elder, Chronological age"
527,Problems in assessing happiness effects,", Problems in assessing happiness effects"
529,Mental processes,"psychology, inner evaluation, appraisal process, Mental processes"
530,Clarity of goals,"clear, distinct, palpable, Clarity of goals"
532,One parent family,"single mother, broken home, One parent family"
533,Trend in conditions for happiness,"contingence, development, drift, overtime, Trend in conditions for happiness"
534,Political freedom in nation,"civil liberties, rights, Political freedom in nation"
535,Individualism/collectivism in nation,"group oriented, Individualism/collectivism in nation"
536,Depression (ICD code F32-34),"despair, down, flat affect, sad, melancholy, Depression (ICD code F32-34)"
537,Effects on perception/Retrospection,"view, Effects on perception/Retrospection"
538,Perceived realization,"contentment, Perceived realization"
539,Satisfaction with aspects of life,"life aspect, facet, feature, Satisfaction with aspects of life"
540,Perceived comparative happiness,"relative happiness, better, worse, social comparison, Perceived comparative happiness"
542,Correction of bias,"control, rectification, Correction of bias"
548,Involvement,"participation, contribution, passive, engagement, detached, Involvement"
549,Of children,"youth, Of children"
551,Functions of hedonic level,"good spirits, Functions of hedonic level"
552,Satisfaction with income,"earnings, pay, means, salary, wage, poor, rich, advantaged, deprivation, Satisfaction with income"
554,Qualitative studies on happiness,"actor perspective, focused interview, eye of beholder, narrative, story, Qualitative studies on happiness"
566,Do people seek happiness?,"motivation, hedonism, Do people seek happiness?"
571,Conditions for happiness in nations: how universal?,"cross-national, comparative, cross-cultural, cultural difference, Conditions for happiness in nations: how universal?"
574,Comparability of happiness measurements,"difference, equivalence, similarity, Comparability of happiness measurements"
579,Do people have an idea of happiness?,"aware, conscious, evaluation, judge, Do people have an idea of happiness?"
626,Determinants of hedonic level,"affective component, affective wellbeing, mood, Determinants of hedonic level"
654,Multi-moment assessment of happiness,"repeated observation of momentary experience, beeper, electronic, Multi-moment assessment of happiness"
679,Rating by others,"external assessment, peer rating, expert rating, Rating by others"
705,Political conservatism,"progressive, right-wing, left-wing, tory, orthodox, Political conservatism"
710,Semantic differential scales,"life aspects, index, questionnaire, words, Semantic differential scales"
719,Time span of goals,"period, temporal interval, Time span of goals"
769,In the past,"anterior, historical, previous, old days, In the past"
791,Social status in childhood,"class, rank, upper, lower, under class, social ladder, stratification, Social status in childhood"
865,Do people know their true happiness?,"conscious, false happiness, self understanding, introspection, Do people know their true happiness?"
