TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"The American Dream or the American Delusion? The Private and External Benefits of Homeownership for Women.","Bucchianeri, G. W.","2011"
"Individualized Music: A Route to Improving the Quality of Life for Long-Term Care Residents.","Burack, J.H.; Jefferson, P.; Libow, L.S.","2002"
"Well-Being and Psychological Consequences of Temporary Contracts: The Case of Younger Italian Employees.","Carrieri, V.; Di Novi, C.; Jacobs, R.","2012"
"Household Context and Subjective Well-Being Among the Oldest Old in China.","Chen, F.; Short, S.E.","2008"
"Endowment and Contrast: The Role of Positive and Negative Emotions on Well-Being Appraisal.","Cheng, S.T.","2004"
"The Effect of Crime on Life Satisfaction.","Cohen, M.A.","2008"
"Measuring Happiness: From Fluctuating Happiness to Authentic-Durable Happiness.","Dambrun, M.; Després, G.; Richard, M.","2012"
"Genetic and Environmental Multidimensionality of Well- and Ill-Being in Middle Aged Twin Men.","Franz, C.E.; Eaves, L.J.; Panizzon, M.S.","2012"
"Nominal or Real? The Impact of Regional Price Levels on Satisfaction with Life.","Deckers, T.; Falk, A.; Schildberg-Hörisch, H.","2013"
"Retirement, Health and Relationships of the Older Population in England.","Banks, J.; Breeze, E.; Cheshire, H.; Demakakos, P.","2006"
"The Development and Validation of an Index of Emotional Disposition and Mood State: The Chinese Affect Scale.","Hamid, P.N.; Cheng, S.T.","1996"
"Predictors of Continued High-Risk Sexual Behavior in a Community Sample of Persons Living with HIV/AIDS.","Heckman, T.G.; Kelly, J.A.; Somlai, A.M.","1998"
"The Happiness-Enhancing Activities and Positive Practices Inventory (HAPPI): Development and Validation.","Henricksen, A.; Stephens, C.","2013"
"Consumption of Sugar Products and Associated Life- and School- Satisfaction and Self-Esteem Factors among Schoolchildren in Kuwait.","Honkala, S.; Al Sahli, N.; Honkala, E.","2006"
"To Weight or Not to Weight: The Role of Domain Importance in Quality of Life Measurement.","Hsieh, C.M.","2004"
"Social and Health Determinants of Well Being and Life Satisfaction in Jamaica.","Hutchinson, G.; Bain, B.C.; Simeon, D.T.","2004"
"Understanding Determinants of Happiness under Uncertainty.","Huxley, P.J.; Mishra, T.; Ouattara, B.","2013"
"The Influence of Fear of Happiness Beliefs on Responses to the Satisfaction with Life Scale.","Joshanloo, M.","2013"
"The Effect of Dysfunctional Thought Processes on Subjective Well-Being and Job Satisfaction.","Judge, T.A.; Locke, E.A.","1992"
"Gallup World Poll 2012.","Gallup,","2012"
"A 5-Year Study of Change in the Relationship Between Well-Being and Job Performance.","Cropanzano, R.; Wright, T.A.","1999"
"The Mixed Blessings of Migration. Life Satisfaction and Self-Esteem over the Course of Migration.","Lönnqvist, J.E.; Jasinskaja-Lathi, I; Leikas, S.; Mähönen, T.A.","2015"
"Optimal and Normal Affect Balance in Psychotherapy of Major Depression: Evaluation of the Balanced States of Mind Model.","Schwartz, R.M.; Haaga, D.A.; Reynolds III, C.F.","2002"
"It's not Just the Amount that Counts: Balanced Need Satisfaction also Affects Well-Being.","Sheldon, K.M.; Niemiec, C.P.","2006"
"Personal Goals and Psychological Growth: Testing an Intervention to Enhance Goal Attainment and Personality Integration.","Sheldon, K.M.; Kasser, T.; Smith, K.","2002"
"Reported Happiness, Fast and Slow.","Studer, R.; Winkelmann, R.","2012"
"The Impact of Religiosity on Self-Assessments of Health and Happiness: Evidence from the US Southwest.","Soydemir, G.A.; Bastida, E.; Gonzalez, G.","2004"
"Development and Validation of an Internationally Reliable Short-Form of the Positive and Negative Affect Schedule (PANAS).","Thompson, E.R.","2007"
"Self-Concordance and Subjective Well-Being in Four Cultures.","Sheldon, K.M.; Elliot, A.J.; Ryan, R.M.","2004"
"There is Nothing Good About this Work: Identity and Unhappiness Among Nicaraguan Female Sex Workers.","Cox, K.; Casablanca, A.M.; McAdams, D.P.","2013"
"Do Good Institutions Make Citizens Happy, or Do Happy Citizens Build Better Institutions?","Rode, M.","2013"
"Daily Activities and Happiness in Later Life: The Role of Work Status.","Tadic Vujcic, M.; Bakker, A.B.; Oerlemans, W.; Veenhoven, R.","2013"
"A Population Study of Victimization, Relationships, and Well-Being in Middle Childhood.","Guhn, M.; Gadermann, A.M.; Schonert-Reichl, K. A.","2013"
"Quantifying the Value of Emotions Using a Willingness to Pay Approach.","Lau, H.P.B.; Schnall, S.; White, M.P.","2013"
"Daily Functioning, Health Status, and Happiness in Older Adults.","Angner, E.","2013"
"Relationship of Illness Severity with Health and Life Satisfaction in Patients with Cardiovascular Disease: The Mediating Role of Self-efficacy Beliefs and Illness Perceptions.","Steca, P.; D'addario, M.; Greco, A.","2013"
"Incremental Validity of Alexithymia, Emotional Coping and Humor Style on Happiness and Psychological Well-Being.","Paez, D.; Martinez-Sanchez, F.; Seguel, A.M.","2013"
"Subjective Well-Being as a Dynamic and Agentic System: Evidence from a Longitudinal Study.","Busseri, M.A.; Sadava, S.W.","2013"
"Ongoing Cumulative Chronic Stressors as Predictors of Well-Being in the Second Half of Life.","Palgi, Y.","2013"
"Self-Construal and Psychological Wellbeing in Scottish and Italian Young Adults.","Duncan, E.","2013"
"Middle School Transition from the Strengths Perspective: Young Adolescents’ Character Strengths, Subjective Well-Being, and School Adjustment.","Shoshani, A.; Slone, M.","2013"
"The Contextual and Compositional Associations of Social Capital and Subjective Happiness: A Multilevel Analysis from Seoul, South Korea.","Han, S.; Kim, H.; Lee, E.S.","2013"
"I Am so Happy Cause My Best Friend Makes Me Feel Unique: Friendship, Personal Sense of Uniqueness and Happiness.","Demir, M.; Procsal, A.D.; Simsek, O.F.","2013"
"Protective Factors for Subjective Well-being in Chinese Older Adults: The Roles of Resources and Activity.","Dai, B.; Li, J.; Zhang, B.","2013"
"Strength-Based Positive Interventions: Further Evidence for Their Potential in Enhancing Well-Being and Alleviating Depression.","Gander, F.; Proyer, R.T.; Ruch, W.","2013"
"Savoring Helps Most When You Have Little: Interaction Between Savoring the Moment and Uplifts on Positive Affect and Satisfaction with Life.","Hurley, D.B.; Kwon, p.","2013"
"Quantifying the Semantic Representations of Adolescents’ Memories of Positive and Negative Life Events.","Garcia, D.; Silkstrom, S.","2013"
"Procedural and Distributive Justice Beliefs for Self and Others: Multilevel Associations with Life Satisfaction and Self-Rated Health.","Lucas, T.; Wendorf, C.A.; Zhdanova, L.","2013"
"Links Between Parents’ and Children’s Levels of Gratitude, Life Satisfaction, and Hope.","Hoy, B.D.; Mendez, L.R.; Suldo, S.M.","2013"
"Refinement and Psychometric Properties of the Eight-Item Brazilian Positive and Negative Affective Schedule for Children (PANAS-C8).","Damásio, B.F.; Pacico, J.C.; Poletto, M.","2013"
"Are Relative-Income Effects Constant Across the Well-Being Distribution?","Budria, S.","2013"
"Subjective Well-Being and Hedonic Editing: How Happy People Maximize Joint Outcomes of Loss and Gain.","Sul, S.; Choi, I.; Kim, J.","2013"
"Market Openness, Transition Economies and Subjective Wellbeing.","Tsai, M.C.","2009"
"Please May I Have a Bike? Better Yet, May I Have a Hug? An Examination of Children’s and Adolescents’ Happiness.","Nguyen Chaplin, L.","2009"
"Sub-national Fiscal Activity as a Determinant of Individual Happiness: Ideology Matters.","Wassmer, R,W.; Kroll, S.; Lascher, E.","2009"
"The China Puzzle: Falling Happiness in a Rising Economy.","Brockmann, H.; Delhey, J.; Welzel, C.","2009"
"Adolescents’ Psychological Well-Being and Memory for Life Events: Influences on Life Satisfaction with Respect to Temperamental Dispositions.","Garcia, D.; Siddiqui, A.","2009"
"Temperament and Happiness in Children.","Holder, M.D.; Klassen, A.","2010"
"Crime and Happiness Amongst Heads of Households in Malawi.","Davies, S.; Hinks, T.","2010"
"Does Needs Satisfaction Matter for Psychological and Subjective Wellbeing in Developing Countries: A Mixed-Methods Illustration from Bangladesh and Thailand.","Camfield, L.; Guillen-Royo, M.; Velazco, J.","2010"
"Do Inferences about Age Differences in Emotional Experience Depend on the Parameters Analyzed?","Fernandez Ballesteros, R.; Cobo, L.; Fernandez, V.","2010"
"The Importance of Spirituality in Well-Being for Jews and Christians.","Cohen, A.B.","2002"
"The Connection Between Happiness and Service Businesses: A Preliminary Study.","Chiu, H.C.; Hsieh, Y.C; Yeh, H.J.","2011"
"The Purpose in Life Test-Short Form: Development and Psychometric Support.","Schulenberg, S.E.; Buchanan, E.M.; Schnetzer, L.W.","2011"
"Wanting more than you have and it’s Consequences or Well-being.","Norris, J.I.; Larsen, J.T.","2011"
"Happiness and Personal Growth are Attainable in Interferon-Beta-1a Treated Multiple Sclerosis Patients.","Barak, Y.; Achiron, A.","2011"
"Adolescents’ Life Satisfaction During the Transition to Post-Comprehensive Education: Antecedents and Consequences.","Salmela-Aro, K.; Tuominen-Soini, H.","2010"
"Pursuing Pleasure or Virtue: The Differential and Overlapping Well-Being Benefits of Hedonic and Eudaimonic Motives.","Huta, V.; Ryan, R.M.","2010"
"Living with ill-Health in Older Age: The Role of a Resilient Personality.","Windle, G.; Markland, D.A.; Woods, R.T.","2010"
"How Do Educational Attainment and Occupational and Wage-Earner Statuses Affect Life Satisfaction? A Gender Perspective Study.","Del Mar Salines-Jimenez, M.; Artés, J.; Salinas-Jiménez, J.","2013"
"Income, Motivation, and Satisfaction with Life: An Empirical Analysis.","Del Mar Salines-Jimenez, M.; Artés, J.; Salinas-Jiménez, J.","2010"
"Links Between Stress, Positive and Negative Affect, and Life Satisfaction Among Teachers in Special Education Schools.","Hamama, L.; Ronen, T.; Shachar, K.","2013"
"Leisure Satisfaction and Quality of Life in China, Japan, and South Korea: A Comparative Study Using AsiaBarometer 2006.","Liang, J.; Brown, J.S.; Yamashita, T.","2013"
"Crime Victimization and Subjective Well-Being: Evidence from Happiness Data.","Kuroki, M.","2013"
"Does Being Well-Off Make Us Happier? Problems of Measurement.","Zuzanek, J.","2013"
"Childhood Adversity and Adulthood Subjective Well-Being: Evidence from Japan.","Oshio, T.; Kawakami, N.; Umeda, M.","2013"
"University Students’ Subjective Well-being:            The Role of Autonomy Support from Parents, Friends, and the Romantic Partner.","Ratelle, C.F.; Guay, F.; Simard, K.","2013"
"The Contribution of Resistance Resources and Sense of Coherence to Life Satisfaction in Older Age.","Wiesmann, U.; Hannich, H.J.","2013"
"Why are Wise People Happier? An Explanatory Model of Wisdom and Emotional Well-Being in Older Adults.","Etezadi, S.; Pushkar, D.","2013"
"What Mediates Links Between Age and Well-being? A Test of Social Support and Interpersonal Conflict as Potential Interpersonal Pathways.","Darbonne, A.; Ong, A. D.; Uchino, B.N.","2013"
"Untangling the Relationship Between Income and Subjective Well-Being: The Role of Perceived Income Adequacy and Borrowing Constraints.","Pereira, M.C.; Coelho, F.","2013"
"The Working for Wellness Program: RCT of an Employee Well-Being Intervention.","Page, K.M.; Vella-Brodrick, D.A.","2013"
"Two Concepts or Two Approaches? A Bifactor Analysis of Psychological and Subjective Well-Being.","Chen, F.F.; Hayes, A.; Jing, Y.","2013"
"A 32-Year Longitudinal Study of Child and Adolescent Pathways to Well-Being in Adulthood.","Olsson, C. A.,; McGee, R.; Nada-Raja, S.","2013"
"Self-Efficacy for Affect Regulation as a Predictor of Future Life Satisfaction and Moderator of the Negative Affect--Life Satisfaction Relationship.","Lightsey, O.R.; Ervin, A.; McGhee, J.","2013"
"Change in Life Satisfaction Under Chronic Physical Multi-morbidity in Advanced Old Age: Potential and Limits of Adaptation.","Schilling, O.; Oswald, F.; Wahl, H.W.","2013"
"When Romantic Partners’ Goals Conflict: Effects on Relationship Quality and Subjective Well-Being.","Gere, J.; Schimmack, U.","2013"
"Happiness and Well-Being of Young Carers: Extent, Nature and Correlates of Caring Among 10 and 11 Year Old School Children.","Lloyd, K.","2013"
"Structure and Continuity of Well-Being in Mid-Adulthood: A Longitudinal Study.","Kokko, K.; Korkalainen, A; Lyyra, A.L.","2013"
"A Happiness Study Using Age-Period-Cohort Framework.","Fukada, H.","2013"
"Comparing Three Methods to Measure a Balanced Time Perspective: The Relationship Between a Balanced Time Perspective and Subjective Well-Being.","Zhang, J.W.; Howell, R.T.; Stolarski, M.","2013"
"The Interplay Among Levels of Personality: The Mediator Effect of Personal Projects Between the Big Five and Subjective Well-Being.","Albuquerque, I; Matos, M.; Pedroso De Lima, M.","2013"
"The Role of Hope, Spirituality and Religious Practice in Adolescents’ Life Satisfaction: Longitudinal Findings.","Marques, S.C.; Lopez, S.J.; Mitchell, J.","2013"
"Testing Strengths-Based Interventions:  A Preliminary Study on the Effectiveness of a Program Targeting Curiosity, Gratitude, Hope, Humor, and Zest for Enhancing Life Satisfaction.","Proyer, R.T.; Buschor, C.; Ruch, W.","2013"
"Life Satisfaction and the Self: Structure, Content, and Function.","Reich, W.A.; Bernieri, F.J.; Kessel, E.M.","2013"
"Affective Reactions to One’s Whole Life: Preliminary Development and Validation of the Ontological Well-Being Scale.","Simsek, O.F.; Kocayörük, E.","2013"
"What Makes for a Good Life? A Four-Nation Study.","Tafarodi, R.W.; Bonn, G.; Liang, H.","2012"
"The Optimality of Tax Transfers: What does Life Satisfaction Data Tell Us?","Frijters, P.; Johnston, D.W.; Shields, M.A.","2012"
"Psychological and Social Factors that Promote Positive Adaptation to Stress and Adversity in the Adult Life Cycle.","Jimenez Ambriz, M.G.; Izal, M.; Montorio, I.","2012"
"Does Government Make People Happy?: Exploring New Research Directions for Government’s Roles in Happiness.","Kim, S.; Kim, D.","2012"
"Adolescents’ Temperament and Character: A Longitudinal Study on Happiness.","Garcia, D.; Moradi, S.","2012"
"Happiness and Sex Difference in Life Expectancy.","Kageyama, J.","2012"
"Optimism and Subjective Well-Being: Affectivity Plays a Secondary Role in the Relationship Between Optimism and Global Life Satisfaction in the Middle-Aged Women. Longitudinal and Cross-Cultural Findings.","Daukantaite, D.; Zukauskiene, R.","2012"
"The Relationships Between Life Satisfaction, Happiness, and Current Mood.","Gamble, A.; Gärling, T.","2012"
"I’m Happy, Hope You’re Happy Too.","Hooghe, M.","2012"
"Life Satisfaction and Political Participation: Evidence from the United States.","Flavin, P.; Keane, M.J.","2012"
"Age-Related Differences in Lay Conceptions of Well-Being and Experienced Well-Being.","McMahan, E.A.; Estes, D.","2012"
"Happiness and Unhappiness in the Developing World: Life Satisfaction Among Sex Workers, Dump-Dwellers, Urban Poor, and Rural Peasants in Nicaragua.","Cox, K.","2012"
"The Determinants of Happiness of China's Elderly Population.","Chyi, H.; Mao, S.","2012"
"Satisfaction with Life and Food-Related Life in Persons of the Mapuche Ethnic Group in Southern Chile: A Comparative Analysis Using Logit and Probit Models.","Schnettler, B.; Miranda, H.; Sepúlveda, J.","2012"
"A Model of Subjective Well-Being for Adolescents in High School.","Eryilmaz, A.","2012"
"Is Searching for Meaning in Life Associated With Reduced Subjective Well-Being? Confirmation and Possible Moderators.","Cohen, K.; Cairns, D.","2012"
"Subjective Wellbeing in China: A Review.","Davey, G.; Rato, R.","2012"
"Happiness Runs in a Circular Motion: Evidence for a Positive Feedback Loop between Prosocial Spending and Happiness.","Aknin, L.B.; Dunn, E.W.; Norton, M.I.","2012"
"Subjective Wellbeing in a Southwestern Province in China.","Monk-Turner, E.; Turner, C.G.","2012"
"Happiness and Suffering in the Life Story:  An Inquiry into Conflicting Expectations Concerning the Association of Perceived Past with Present Subjective Well-Being in Old Age.","Shmotkin, D.; Shrira, A.","2012"
"The Silver Lining of Materialism: The Impact of Luxury Consumption on Subjective Well-Being.","Hudders, L.; Pandelaere, M.","2012"
"Predicting Well-Being From Personality in Adolescents and Older Adults.","Butkovic, A.; Bratko, D.; Brkovic, I.","2012"
"Calling and Life Satisfaction Among Undergraduate Students: Investigating Mediators and Moderators.","Duffy, R.D.; Allan, B.A.; Bott, E.M.","2012"
"Self-Reported Wisdom and Happiness: An Empirical Investigation.","Bergsma, A.; Ardelt, M.","2012"
"Ruminations and Flow: Why do People with a more Harmonious Passion experience Higher Well-Being?","Carpentier, J.; Mageau, G.A.; Vallerand, R.J.","2012"
"Neighborhood Determinants of Quality of Life.","Gandelman, N.; Ferre, Z.; Piani, G.","2012"
"Correlates of Happiness Among Older Spanish Institutionalised and Non-Institutionalised Adults.","Godoy-Izquierdo, D.; Moreno, R.L.; Perez, M.L.","2013"
"The Gold of One’s Ring is Not Far More Precious than the Gold of One’s Heart: Reported Life Satisfaction Among Married and Cohabitating South African Adults.","Botha, F.; Booysen, F.R.","2013"
"Some Like It Mild and Not Too Wet: The Influence of Weather on Subjective Well-Being.","Connoly, M","2013"
"Exploring the Causes of Subjective Well-Being: A Content Analysis of Peoples’ Recipes for Long-term Happiness.","Caunt, B.S.; Brodaty, H.; Franklin, J.","2013"
"Marriage and Children as a Key to Happiness? Cross-National Differences in the Effects of Marital Status and Children on Well-Being.","Vanassche, S.; Matthijs, K.; Swicegood, G.","2013"
"Toward a Better Understanding of the Relationship Between Friendship and Happiness: Perceived Responses to Capitalization Attempts, Feelings of Mattering, and Satisfaction of Basic Psychological Needs in Same-Sex Best Friendship as Predictors of Happiness","Demir, M.; Davidson, I","2013"
"Humor Types Show Different Patterns of Self-Regulation, Self-Esteem, and Well-Being.","Leist, A.K.; Müller, D.","2013"
"The Construct and Measurement of Peace of Mind.","Lee, Y.T; Huang, C.; Lin, Y.","2013"
"The Effects of Positive Interventions on Happiness and Depressive Symptoms, with an Examination of Personality as a Moderator","Senf, K.; Liau, A.K.","2013"
"Evidence of Associations Between Lay Conceptions of Well-Being, Conception-Congruent Behavior, and Experienced Well-Being.","McMahan, E.A.; Dixon, K.J.; King, L.M.","2013"
"The Affective Temperaments and Well-Being: Swedish and Iranian Adolescents’ Life Satisfaction and Psychological Well-Being.","Garcia, D.; Moradi, S.","2013"
"Coping with HIV Related Stigma and Well-Being.","Sanjuan, P.; Fuster, M.J.; Molero, F.","2013"
"Post-migration Growth Scale for Chinese International Students: Development and Validation.","Pan, J.Y; Wong, D.F.; Ye, S","2013"
"Unemployment Needs Context: How Societal Differences between Countries Moderate the Loss in Life-Satisfaction for the Unemployed.","Eichhorn, J.","2013"
"Effects of Self-Reported Wisdom on Happiness: Not Much More Than Emotional Intelligence?","Zacher, Hannes; Mckenna, B.; Rooney, D.","2013"
"Posttraumatic Growth and Subjective Well-Being among Caregivers of Chronic Patients: A Preliminary Study.","Hamama, L.; Sharon, M.","2013"
"Individual Differences in How Work and Nonwork Life Domains Contribute to Life Satisfaction: Using Factor Mixture Modeling for Classification.","Heidemeier, H.; Göritz, A.S.","2013"
"Analysing the Simultaneous Relationship Between Life Satisfaction and Health-Related Quality of Life.","Garrido, S.; Abellán, J.M.; Mendez, I.","2013"
"Visualizing the Good Life: A Cross-Cultural Analysis.","Bonn, G.; Tafarodi, R.W.","2013"
"Overall Hedonic Evaluations and Evaluation of Specific Moments from Past Relationships and High School Days.","Kemp, S.; Chen, Z.","2012"
"The Affective Temperaments: Differences between Adolescents in the Big Five Model and Cloninger’s Psychobiological Model of Personality.","Garcia, D.","2013"
"Happiness, Mental Health, and Socio-Demographic Associations Among a National Cohort of Thai Adults.","Yiengprugsawan, V.; Seubsman, S.; Somboonsook, B.","2013"
"Testing the Relationship Between Parents’ and Their Children’s Subjective Well-Being.","Casas, F.; Coenders, G.; Gonzalez Carrasco, M.","2013"
"The Adolescent Life Goal Profile Scale: Development of a New Scale for Measurements of Life Goals Among Young People.","Gabrielsen, L.E.; Ulleberg, P.; Watten, R.G.","2012"
"Happiness is not Well-Being.","Raibley, J.","2012"
"Work-Family Values, Priority Goals and Life Satisfaction: A Seven Year Follow-up of MBA Students.","Masuda, A.D.; Sortheix, F.M.","2013"
"Character Strengths Interventions: Building on What We Know for Improved Outcomes.","Quinlan, D.; Swain, N.; Vella-Brodrick, D.A.","2012"
"Affective Well-Being in Retirement: The Influence of Values, Money, and Health Across Three Years.","Burr, A.; Pushkar, D.; Santo, J.B.","2011"
"Development Projects and Life Satisfaction: An Impact Study on Fair Trade Handicraft Producers.","Becchetti, L.; Castriota, S.; Solferino, N.","2011"
"""Building Hope for the Future"": A Program to Foster Strengths in Middle-School Students.","Marques, S.C.; Lopez, S.J.; Pais-Ribeiro, J.","2011"
"Strengths Use as a Predictor of Well-Being and Health-Related Quality of Life.","Proctor, C.L.; Linley, P.A.; Maltby, J.","2011"
"Results of a Study to Increase Savoring the Moment: Differential Impact on Positive and Negative Outcomes.","Hurley, D.B.; Kwon, p.","2012"
"After Adversity Strikes: Predictions, Recollections and Reality Among People Experiencing the Onset of Adverse Circumstances.","Peeters, Y.; Loewenstein, G.; Smith, D.M.","2011"
"Global and School-Related Happiness in Finnish Children.","Uusitalo-malmivaara, L.","2011"
"Happiness No Matter the Cost? An Examination on How Efficiently Individuals Reach Their Happiness Levels.","Binder, M.; Broekel, T.","2011"
"De-Biasing the Age-Happiness Bias: Memory Search and Cultural Expectations in Happiness Judgments Across the Lifespan.","Lacey, H.P.; Kierstead, T.A.; Morey, D.","2011"
"What is Psychological Well-Being, Really? A Grassroots Approach from the Organizational Sciences.","Dagenais-Desmarais, V.; Savoie, A.","2012"
"The AB Identification Survey: Identifying Absolute versus Relative Determinants of Happiness.","Yang, A.X.; Hsee, C.K.; Zheng, X.","2012"
"National Income and Income Inequality, Family Affluence and Life Satisfaction Among 13 year Old Boys and Girls: A Multilevel Study in 35 Countries.","Levin, K. A.; Torsheim, T.; Vollebergh, W.A.","2011"
"Job Satisfaction and Life Satisfaction Revisited: A Longitudinal Test of an Integrated Model.","Rode, J.C.","2004"
"Elderly People Definitions of Quality of Life.","Farquhar, M.","1995"
"Positive Affect Measured using Ecological Momentary Assessment and Survival in Older Men and Women.","Steptoe, A.; Wardle, J.","2011"
"Knowing what is Good for you Empirical Analysis of Personal Preferences and the  ""Objective Good"".","Lelkes, O.","2005"
"Does the "" Marriage Benefit"" extend to Partners in Gay and Lesbian Relationships?","Wienke, C.; Hill, G.J.","2009"
"De Invloed van Online en Ofline Sociale Relaties op ons Leefritme en Geluk.","Steyaert, A.","2009"
"Natural Capital, subjective Well-Being, and the New Welfare Economics of Sustainability: Some Evidence from Cross-Country Regressions.","Engelbrecht, H.J.","2009"
"Measuring Meaning in Life.","Morgan, J.; Farsides, T.","2009"
"Happiness in Macau.","Rato, R.","2012"
"Counting Blessing in Early Adolescents: An Experimental Study of Gratitude and Subjective Well-Being.","Froh, J.J.; Emmons, R.A.; Sefick, W. J.","2008"
"Les plus Bonheur du plus Grand Nombre. Est-Ce Possible? Si Oui, Comment?","Veenhoven, R.","2011"
"ING Life in Hong Kong. Happiness Index 2011.","Ho, L.S.","2011"
"Macau Happiness Survey 2011.","Ho, L.S.","2011"
"Capability and Happiness Conceptual Difference and Reality.","Veenhoven, R.","2010"
"Hong Kong Happiness Survey 2011.","Ho, L.S.","2011"
"Onbehagen in het Paradijs.","Veenhoven, R.","2011"
"Linking Change in Happiness, Time Use, Sustainable Consumption, and Environmental Impacts. An Attempt to Understand Time-Rebound Effects.","Hofstetter, P.; Madjar, M.","2003"
"Satisfaction with Personal Life. Gallup Historical Trends.","Gallup,","2014"
"Welbevinden in Nederland.","Veenhoven, R.","2011"
"Getting ahead of Ourselves. Can International Comparative Research tell Us How Social Policy Affects Subjective Well-Being?","Stefansson, K.","2007"
"Maakt Geld Gelukkig?","Veenhoven, R.","2011"
"Factors Associated with Subjective Well-Being in Chinese Elderly People.","Xu, C.Z.","2013"
"Wat we Weten.","Veenhoven, R.","2010"
"Family Status and Subjective Well-Being: Comparing Poland and Sweden.","Bernhardt, E.; Fratczak, E.","2005"
"Personal  Communication.","Forti, T.J.","1986"
"Life Satisfaction.","CBOS,","2009"
"Can We Get Happier than We Are?","Veenhoven, R.","2011"
"Has Modernization Gone  too Far? Modernity and Happiness in 141 Contemporary Nations.","Veenhoven, R.; Berg, M.C.","2013"
"Social Development and Happiness in Nations.","Veenhoven, R.","2012"
"Life Satisfaction and Health-Related Quality of Life in Immigrants and Native-Born Germans: The Role of Immigration-Related Factors","Nesterko, Y; Brähler, E.; Glaesmer, H; Grande, G","2013"
"Social Deprivation of Immigrants in Germany.","DeNew, J.P.; Sinning, M","2010"
"Food Indicators and their Relationship with 10 to  12 year-olds' Subjective Well-Being.","Vaqué, C.; Casas, F.; Gonzalez Carrasco, M.","2012"
"Money, Well-Being, and Loss Aversion: Does an Income Loss have a Greater Effect on Well-Being than an Equivalent Income Gain?","Boyce, C.J.; Banks, J.; Wood, A.M.","2013"
"Does Happiness Differ Across Cultures?","Veenhoven, R.","2012"
"Comparing Multiple Discrepancies Theory to Affective Models of Subjective Well-Being.","Blore, J.D.; Mellor, D.J.; Stokes, M.A.","2011"
"Income Inequality and Subjective Well-Being: A Cross-National Study on the Conditional Effects of Individual and National Characteristics.","Rözer, J.; Kraaykamp, G.","2013"
"Sociability, Altruism and Subjective Well-being.","Becchetti, L.; Conzo, P.; Corrado, L.","2013"
"Satisfaccion con la Vida, fe Religiosa  y asistencia al Templo en Uruguay.","Ferre, Z.; Gerstenblüth, M.; Rossi, M.","2010"
"Happiness in India.","Biswas-Diener, R.; Diener, C.; Tay, L.","2012"
"Happiness and Life Satisfaction in Malaysia.","Howell, R.T.; Chong, T.; Howell, C.J.; Schwabe, K.A.","2012"
"Happiness and Quality of Life in the People's Republic of China.","Davey, G.","2012"
"Quality of Life of an Asian Metropolis in a Governance Crisis: The Case of Hong Kong.","Sing, M.","2012"
"Singapore: A Happy State of Mind?","Tambyah, S.K.; Tan, S.J.","2012"
"Life Satisfaction, Ethnicity and Neighbourhoods: Is There an Effect of Neighbourhood Ethnic Composition on Life Satisfaction?","Knies, G.; Nandi, A; Platt, L","2014"
"Hedonic  Damages, Hedonic Adaptation, and Disability.","Bagenstos, S.R.; Schlanger, M.","2007"
"What Happiness Research can Tell Us about Self-Control Problems and Utility Misprediction.","Stutzer, A.; Frey, B.S.","2007"
"Lithuania: Youth Mental Health.","Zaborskis, A.; Grabauskas, V.J.; Zemaitiene, N.","2008"
"Slovenia: Mental Health and Well-Being for all Children.","Bevc Stankovic, M..; Blenkus, M.G.; Cinc, M.","2008"
"United Kingdom ( Scotland): Heads Up Scotland.","Clarke, A.; Currie, C.; Hogg, E.","2008"
"Ireland: Social Cohesion for Mental Well-being among Adolescents.","Molcho, M.; Kelly, C.; Sheridan, A.","2008"
"Portugal: From Research to Practice. Promoting Positive Health for Adolescents in Schools.","DeMatos, M.G.; Baptista, M.I.; Simoes, C.","2008"
"Satisfaction and Societal Quality in Kazakhstan.","Abbott, P.; Wallace, C.","2012"
"Happiness in Thailand.","Gray, R.S.","2012"
"Repercussion of Transition Out of Elite Sport on Subjective Well-Being: A One-Year Study.","Stephan, Y.; Bilard, J.; Delignieres, D.; Ninot, G.","2003"
"The Politics  of  Wellbeing in International Development: Research with Organic Farmers in Cambodia","Beban, A.","2012"
"The Path to Well-Being among Elderly Arab Israelis.","Litwin, H.","2006"
"Das Glück der Migranten: Eine Lebenslaufanalyse zum subjektiven Wohlbefinden von Migranten der erste Generation in Deutschland.","Brockmann, H.","2012"
"The Social Situation of Elderly Turkish Immigrants in Copenhagen, Denmark.","Lewinter, M.; Gezgin, K.; Kesmez, S.S.","1996"
"Constructions of Happiness and Satisfaction in the Kingdom of Tonga.","Young-Leslie, H. E.; Moore, S.E.","2012"
"A Different Rationale for Redistribution: A Reply to Bjornskov.","Cullis, J.; Hudson, J.C.; Jones, P.","2011"
"De Invloed van Omstandigheden in Kindertijd op later Geluk. Een Research Syntese.","Bouman, A.","2013"
"'Surfeiting, the Appetite may Sicken': Entrepreneurship and the Happiness of Nations.","Naude, W.; Amoros, J.E.; Cristi, O.","2014"
"Satisfaction in Life Conditions and Well-Being.","Dickes, P.; Klein, C.","2011"
"Family Money, Relational Life and (Class) Relative Wealth: An Empirical Analysis on Life Satisfaction of Secondary School Students.","Becchetti, L.; Pisani, F.","2012"
"Progressive Taxation and the Subjective Well-Being of Nations.","Oishi, S.; Diener, E.; Schimmack, U.","2012"
